# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [12.8 - 13.2]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.0048  16.2713  15.1984  17.6983 16.2713  15.1984  17.6983  2.2808  -2.1256   6.9941
  0.0402  16.2706  15.1775  17.7168 16.2706  15.1775  17.7168  2.6479  -0.5848   7.9481
  0.0755  16.2828  15.5307  17.7655 16.2828  15.5310  17.7655  2.8665  -0.2067   8.9700
  0.1109  16.3266  15.7758  17.7912 16.3266  15.7749  17.7912  3.4538  -0.8700  10.2327
  0.1462  16.5323  15.8860  17.8061 16.5323  15.8842  17.8061  2.8735  -0.8538   9.4294
  0.1816  16.8380  15.9668  17.7961 16.8380  15.9645  17.7961  3.2480   1.1093   9.8685
  0.2169  17.1719  16.0030  17.7968 17.1719  16.0022  17.7968  3.8459   1.0679   9.7760
  0.2523  17.3984  16.0371  17.7916 17.3984  16.0357  17.7916  4.4142   1.0259  11.3564
  0.2876  17.5120  16.0882  17.7873 17.5120  16.0871  17.7873  4.0680   1.2983  11.1303
  0.3230  17.5260  16.0757  17.8058 17.5260  16.0749  17.8058  3.9165   2.3471  11.3477
  0.3583  17.5146  16.1048  17.8582 17.5146  16.1050  17.8582  4.0712   2.2130  11.3683
  0.3937  17.5021  16.1927  17.8906 17.5021  16.1927  17.8906  4.6507   2.5461  11.4536
  0.4291  17.4257  16.2746  17.8829 17.4257  16.2746  17.8829  5.2232   2.7388  11.6848
  0.4644  17.3162  16.2850  17.8570 17.3162  16.2850  17.8570  5.4314   2.8846  11.8119
  0.4998  17.2425  16.2748  17.8450 17.2425  16.2747  17.8450  5.3272   2.8245  10.9930
  0.5351  17.2041  16.3267  17.8320 17.2041  16.3266  17.8320  5.1910   2.8231  10.4048
  0.5705  17.1576  16.4089  17.8129 17.1576  16.4089  17.8129  5.4989   2.8762  10.8444
  0.6058  17.1283  16.5845  17.7740 17.1283  16.5845  17.7740  5.8166   3.3326  11.3394
  0.6412  17.1663  16.7458  17.7253 17.1663  16.7458  17.7253  5.7172   3.3200  11.0131
  0.6765  17.1480  16.8082  17.6734 17.1480  16.8082  17.6734  5.4853   3.1278   9.6135
  0.7119  17.1629  16.7538  17.6262 17.1629  16.7538  17.6262  5.6452   2.8285   8.3892
  0.7472  17.1314  16.7068  17.5822 17.1314  16.7068  17.5822  5.8431   2.9734   7.3631
  0.7826  17.1124  16.6318  17.5498 17.1124  16.6318  17.5498  6.0084   3.1656   8.7213
  0.8179  17.0233  16.5153  17.5579 17.0233  16.5153  17.5579  5.9071   3.2509   9.2684
  0.8533  16.9274  16.3597  17.5741 16.9274  16.3597  17.5741  5.9465   3.4293  10.2265
  0.8886  16.8954  16.2462  17.5759 16.8954  16.2462  17.5759  6.0611   3.3892  10.6399
  0.9240  16.9467  16.2071  17.5311 16.9467  16.2071  17.5311  6.0526   3.3322  12.0249
  0.9594  17.0018  16.1835  17.4691 17.0018  16.1835  17.4691  6.1578   3.2778  12.1638
  0.9947  16.9594  16.1285  17.3552 16.9594  16.1285  17.3552  6.5830   3.4141  12.1281
  1.0301  16.8604  16.0448  17.2243 16.8604  16.0448  17.2243  6.5986   3.3916  11.8263
  1.0654  16.8304  15.9600  17.0916 16.8304  15.9600  17.0916  6.4813   3.5212  11.7516
  1.1008  16.7690  15.8920  17.0177 16.7690  15.8920  17.0177  6.5506   3.8367  11.9315
  1.1361  16.6967  15.8905  16.9588 16.6967  15.8905  16.9588  6.9029   3.7863  11.8243
  1.1715  16.5815  15.8956  16.8726 16.5815  15.8956  16.8726  6.8737   3.6642  11.6592
  1.2068  16.4651  15.8287  16.8057 16.4650  15.8287  16.8061  6.9739   3.5419  11.5583
  1.2422  16.2815  15.7019  16.7491 16.2812  15.7019  16.7477  6.9364   3.5500  11.9117
  1.2775  16.0614  15.5337  16.6463 16.0611  15.5336  16.6444  6.8891   3.5902  12.1146
  1.3129  15.9779  15.3613  16.5191 15.9777  15.3612  16.5178  6.8803   3.6814  12.1146
  1.3482  15.9351  15.1908  16.4395 15.9352  15.1908  16.4398  6.9643   3.5725  11.8221
  1.3836  15.8539  15.0620  16.3378 15.8537  15.0620  16.3378  7.0605   3.4928  11.6246
  1.4189  15.6858  15.0037  16.2110 15.6855  15.0040  16.2110  6.9950   4.0660  11.7608
  1.4543  15.5070  14.9222  16.1593 15.5067  14.9213  16.1593  6.8850   4.2039  11.8855
  1.4897  15.3943  14.8633  16.1330 15.3941  14.8616  16.1330  6.8906   4.8853  12.0996
  1.5250  15.4372  14.7957  16.0263 15.4370  14.7941  16.0263  8.4588   5.2715  12.1490
  1.5604  15.4788  14.7939  15.8983 15.4786  14.7937  15.8983  9.7243   5.8128  12.1054
