# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Left Panel (TNG50-1 z=0.0)
# columns: mhalo, mass_HI, p10, p90, mass_Metal, p10, p90, mass_Mg, p10, p90, mass_MgII, p10, p90
# all masses in [log msun], p10 and p90 denote 10th and 90th percentiles of previous field

 9.93,  7.17,  5.86,  7.49,  4.47,  4.09,  4.98,  3.17,  2.71,  3.68,  2.99,  1.21,  3.21
10.14,  7.58,  7.20,  8.21,  5.28,  4.73,  5.88,  3.98,  3.43,  4.58,  3.51,  3.17,  4.19
10.44,  8.29,  7.57,  8.84,  6.28,  5.73,  6.80,  4.98,  4.43,  5.50,  4.57,  3.95,  5.16
10.88,  8.87,  8.15,  9.33,  7.24,  6.79,  7.66,  5.93,  5.49,  6.36,  5.57,  5.05,  6.08
11.33,  9.27,  8.51,  9.66,  8.00,  7.68,  8.28,  6.70,  6.38,  6.98,  6.37,  5.90,  6.73
11.77,  9.61,  8.68,  9.99,  8.50,  8.08,  8.79,  7.19,  6.77,  7.48,  6.89,  5.94,  7.26
12.22,  9.76,  8.94, 10.20,  8.80,  8.37,  9.10,  7.49,  7.05,  7.79,  7.14,  6.09,  7.54
12.64, 10.00,  9.42, 10.44,  9.20,  8.84,  9.51,  7.89,  7.52,  8.20,  7.34,  6.42,  7.79
13.16, 10.26,  9.96, 10.67,  9.68,  9.44, 10.02,  8.36,  8.13,  8.70,  7.71,  7.11,  8.06
13.51, 10.32, 10.11, 10.71, 10.26, 10.00, 10.60,  8.95,  8.69,  9.28,  7.83,  7.19,  8.03
14.12,  9.83,  9.70,  9.99, 10.89, 10.74, 11.05,  9.57,  9.43,  9.73,  6.85,  6.66,  7.06
