# log10(T[K])			Vol_PDF		Mass_PDF		Diff_emm
3.848073959350585938e+00 5.384082216715945823e-06 3.138586754968252600e-06 -4.930048168691868895e-08
3.893203735351562500e+00 2.358799907657222134e-04 1.829910296719890195e-02 -5.102170081857372932e-03
3.938333511352539062e+00 1.078820016107839104e-03 1.173273948432396463e-01 -1.757605662217034612e-02
3.983463764190673828e+00 1.318792539684739140e-02 1.134997626880773103e+00 1.170992259174397920e-01
4.028593540191650391e+00 4.651849217275638888e-03 3.652997149652016939e-01 2.562765954836440097e-01
4.073723793029785156e+00 6.012840634130392492e-03 4.123426892818680134e-01 6.430403279557600493e-01
4.118853569030761719e+00 6.986889877101727653e-03 3.937114687649131417e-01 1.424406378551658303e+00
4.163983345031738281e+00 7.326087141893024464e-03 3.145174464745774112e-01 2.146907843367780622e+00
4.209113597869873047e+00 7.108816875513103428e-03 2.196092307634476271e-01 1.620154207756783649e+00
4.254243373870849609e+00 6.934639689634913666e-03 1.551630709820518428e-01 3.815109716725837985e-01
4.299373626708984375e+00 6.882303075751054072e-03 1.221520199021378789e-01 2.083262357948212351e-01
4.344503402709960938e+00 6.588194356116001613e-03 9.652639401376997275e-02 1.389259252650482113e-01
4.389633178710937500e+00 6.142335104027171928e-03 7.692208931141127082e-02 1.185956559288299517e-01
4.434763431549072266e+00 5.876640009742742018e-03 6.433493553754308925e-02 9.333899466573539194e-02
4.479893207550048828e+00 5.583242762010714490e-03 5.680207166555787529e-02 1.552386112111939498e-01
4.525022983551025391e+00 5.717491100652821907e-03 5.514061814849505194e-02 2.753735891058746166e-01
4.570153236389160156e+00 5.930983964811026125e-03 5.662777549711465325e-02 4.154369806600983761e-01
4.615283012390136719e+00 6.393235040338360840e-03 6.017977268764046483e-02 5.011332471777648623e-01
4.660412788391113281e+00 6.882457722570744368e-03 6.575859108614323656e-02 7.181755347904368314e-01
4.705543041229248047e+00 7.647239060428794900e-03 7.190577151810011169e-02 7.991405139507677946e-01
4.750672817230224609e+00 8.297648728956202174e-03 7.569510455553117578e-02 9.088693769858890992e-01
4.795803070068359375e+00 8.887350357226340980e-03 7.828483995937764173e-02 9.571773441651063585e-01
4.840932846069335938e+00 9.711463136826291656e-03 7.764313118555819793e-02 9.190814253343573270e-01
4.886062622070312500e+00 1.020766123198277309e-02 7.256069400107019451e-02 7.815755168019866694e-01
4.931192874908447266e+00 1.088363317913518084e-02 6.624408084167995869e-02 5.715512558402007226e-01
4.976322650909423828e+00 1.142320682325329538e-02 6.112867880649072022e-02 4.391559304662203123e-01
5.021452426910400391e+00 1.222536881102186460e-02 5.951522602221971658e-02 3.333832095677362606e-01
5.066582679748535156e+00 1.334074588170176129e-02 5.915190651371033531e-02 2.804497182087617446e-01
5.111712455749511719e+00 1.493523970549566655e-02 5.929692172504188313e-02 2.980407552600333743e-01
5.156842231750488281e+00 1.664258651061538419e-02 6.095715464420458501e-02 3.384719215096712031e-01
5.201972484588623047e+00 1.836758029875500131e-02 6.254144331428822257e-02 3.175669973807627167e-01
5.247102260589599609e+00 2.080449851241091344e-02 6.388895956994840308e-02 3.003559889982504449e-01
5.292232513427734375e+00 2.282106601463977300e-02 6.523565421998508973e-02 2.628892152121964920e-01
5.337362289428710938e+00 2.607686780258149095e-02 6.692088259178387288e-02 2.375792815596419194e-01
5.382492065429687500e+00 3.014784986184321572e-02 6.789062671154948159e-02 1.787355310672637809e-01
5.427622318267822266e+00 3.495758316186149683e-02 7.098467212462376830e-02 1.340975801084495489e-01
5.472752094268798828e+00 4.124164660821565825e-02 7.532937631106080556e-02 1.138375369923243785e-01
5.517881870269775391e+00 4.711268673196266493e-02 8.071451126016032651e-02 1.230450433703051821e-01
5.563012123107910156e+00 5.610576353948271144e-02 8.862552372393825428e-02 1.414588958821857145e-01
5.608141899108886719e+00 6.645866107637941889e-02 9.645750664881774794e-02 1.724545628594436331e-01
5.653271675109863281e+00 7.804828489040852024e-02 1.046242090919393547e-01 1.918290284794502698e-01
5.698401927947998047e+00 9.089283594920739839e-02 1.135129191788749048e-01 1.818503831505311752e-01
5.743531703948974609e+00 1.056972580683085000e-01 1.231547734217768447e-01 1.788739151047337717e-01
5.788661956787109375e+00 1.220201719268928092e-01 1.338952750783870549e-01 1.717793003323419276e-01
5.833791732788085938e+00 1.438750006116120694e-01 1.508054790438631276e-01 1.772866977057847848e-01
5.878921508789062500e+00 1.757377133305078887e-01 1.724264749978482725e-01 1.999270378274293491e-01
5.924051761627197266e+00 2.181876602185301717e-01 1.991260165098647505e-01 2.286697392934019524e-01
5.969181537628173828e+00 2.768022397872568208e-01 2.349499226854279144e-01 2.082689873998953556e-01
6.014311313629150391e+00 3.550900267237517838e-01 2.825352265730218804e-01 1.946623447294553999e-01
6.059441566467285156e+00 4.629392031179010991e-01 3.455564116081221160e-01 1.956684334020106497e-01
6.104571342468261719e+00 5.965360015636855806e-01 4.265251613828249799e-01 1.861565559909279799e-01
6.149701118469238281e+00 7.785086252080773983e-01 5.366861821214918837e-01 1.718751945587707608e-01
6.194831371307373047e+00 9.998032089238124698e-01 6.688282418178089772e-01 1.771734513391556298e-01
6.239961147308349609e+00 1.253684207804147910e+00 8.294037569114233177e-01 1.513079225317010001e-01
6.285091400146484375e+00 1.533599183874055250e+00 1.008969264880554384e+00 1.305608718341062791e-01
6.330221176147460938e+00 1.750780139874520192e+00 1.164220326367436664e+00 1.223265611290762778e-01
6.375350952148437500e+00 1.874204507630401917e+00 1.271795969144600580e+00 1.425376143923254568e-01
6.420481204986572266e+00 1.893412791756397651e+00 1.327400111578596498e+00 1.141354395499055430e-01
6.465610980987548828e+00 1.795747109245056983e+00 1.317865287969663735e+00 1.008947872845764593e-01
6.510740756988525391e+00 1.618622001825237078e+00 1.253637788606847714e+00 9.389454713727414525e-02
6.555871009826660156e+00 1.358536264364190727e+00 1.127684481791361826e+00 8.660325564417412081e-02
6.601000785827636719e+00 1.063325438584278748e+00 9.595180834177403639e-01 7.489284445634597498e-02
6.646130561828613281e+00 8.142488534017076063e-01 7.974894579050465504e-01 1.784944868857547273e-01
6.691260814666748047e+00 6.379767371976997614e-01 6.741741021470453177e-01 2.337422661743592534e-01
6.736390590667724609e+00 4.921440578418413425e-01 5.502401904089775364e-01 6.278260757199356779e-02
6.781520843505859375e+00 3.546949726719412221e-01 3.989841096881904248e-01 4.965261725717383390e-02
6.826650619506835938e+00 2.410348749782135480e-01 2.634761844124421382e-01 4.848017085976001617e-02
6.871780395507812500e+00 1.598796683191794077e-01 1.667124058015687360e-01 3.048725627973551330e-02
6.916910648345947266e+00 1.022312378570027491e-01 1.015107353631584525e-01 2.761974523393942102e-02
6.962040424346923828e+00 6.498659683799415387e-02 6.008296358573204932e-02 1.893509259941661069e-02
7.007170200347900391e+00 4.272130843621244761e-02 3.808009410717503457e-02 4.530955932944402687e-02
7.052300453186035156e+00 3.235556606456972684e-02 2.547867355449548801e-02 6.174006519201484522e-02
7.097430229187011719e+00 2.447817648708488364e-02 1.801617585447404593e-02 1.146635339506632892e-02
7.142560482025146484e+00 1.676680888933720220e-02 1.252610272155735456e-02 1.166291798572195379e-02
7.187690258026123047e+00 1.137884554348164885e-02 8.873308193368957889e-03 1.585729059966065058e-02
7.232820034027099609e+00 8.243602712930734461e-03 6.331559967708455527e-03 1.259946596247239411e-02
7.277950286865234375e+00 5.572295765840547775e-03 4.517676197543663702e-03 4.530684219254245068e-03
7.323080062866210938e+00 2.338635348195906936e-03 3.077658187316196885e-03 7.804335016118071205e-03
7.368209838867187500e+00 1.298454958556777891e-03 2.208380030399908957e-03 8.571676017723746377e-03
7.413340091705322266e+00 7.638750750098555458e-04 1.667195611925809942e-03 3.523987117042276605e-03
7.458469867706298828e+00 5.338694317491683933e-04 1.287897686920957269e-03 4.497875102022644810e-03
7.503599643707275391e+00 3.014513667516191433e-04 9.252979209903602030e-04 2.474088389499785878e-03
7.548729896545410156e+00 1.652499449904062283e-04 7.489409617641479451e-04 5.101641326103779905e-03
7.593859672546386719e+00 1.136094609963377993e-04 6.056377845803028685e-04 5.566361001259120117e-03
7.638989925384521484e+00 5.581427021018931141e-05 3.752681730125602237e-04 2.606967444851528409e-03
7.684119701385498047e+00 2.854424444020376529e-05 2.611420623419610895e-04 3.240332669103082250e-03
7.729249477386474609e+00 1.895284830541625257e-05 2.187502038506396608e-04 1.757483360114551032e-03
7.774379730224609375e+00 1.051578737812943079e-05 1.543619285543699181e-04 2.321297081574528326e-03
7.819509506225585938e+00 9.541622228751988228e-06 1.450623157779757906e-04 3.925643364434252235e-03
7.864639282226562500e+00 4.922284179169444461e-06 8.521765870158063327e-05 4.969571831419191191e-03
7.909769535064697266e+00 3.059732339396666168e-06 7.484994868390035900e-05 3.541574281945101405e-03
7.954899311065673828e+00 1.206292420391190124e-06 2.923848658486694936e-05 1.004866443778853601e-03
8.000029563903808594e+00 8.131568449801046258e-07 2.353949325387732759e-05 1.029141907238605115e-03
8.045159339904785156e+00 1.765773350829992012e-07 1.229637016028103016e-05 3.542967046490788164e-04
8.090289115905761719e+00 3.101488003995400637e-08 6.549064273779166977e-06 1.416973069606505646e-04
8.135418891906738281e+00 1.312328496784218502e-08 9.135287911182941645e-06 6.105122443655317281e-04
8.180548667907714844e+00 7.832040998518508028e-09 5.092520517543556863e-06 2.654278551136645477e-04
8.225679397583007812e+00 1.084304672657084772e-08 2.970417627708302993e-06 9.107162577016907697e-05
8.270809173583984375e+00 1.017121215002793672e-08 1.627891358053378008e-06 2.309455104935297104e-05
8.315938949584960938e+00 2.039983903630711006e-08 3.824964838366142214e-06 9.499678804406802622e-05
